Age,Fare,Sex,Pclass,Embarked,2urvived,Family_Size,Is_Alone,Cluster_DBSCAN
-0.5816283106401147,-0.5032910637405889,0,3,2,0,1,0,-1
0.6586519408900796,0.7347436506052941,1,1,0,1,1,0,-1
-0.2715582477575661,-0.4902404567566684,1,3,2,1,0,1,-1
0.4260993937281682,0.38318349953756076,1,1,2,1,1,0,-1
0.4260993937281682,-0.48782367768557205,0,3,2,0,0,1,0
-0.11652321631629182,-0.47992951052774285,0,3,1,0,0,1,1
1.898932192420274,0.35925738673370655,0,1,2,0,0,1,-1
-2.1319786250528576,-0.23599529847733,0,3,2,0,4,0,-1
-0.19404073203692898,-0.4282104384062805,1,3,2,1,2,0,-1
-1.201768436405212,-0.062068409135180025,1,2,0,1,1,0,-1
-1.9769435936115833,-0.32058256596570306,1,3,2,1,2,0,-1
2.2090022553028223,-0.13014037516330884,1,1,2,1,0,1,-1
-0.736663342081389,-0.48782367768557205,0,3,2,0,0,1,0
0.7361694566107168,-0.038786126275866,0,3,2,0,6,0,-1
-1.201768436405212,-0.4916093204225374,1,3,2,0,0,1,-1
1.9764497081409111,-0.33411652876384274,1,2,2,1,0,1,-1
-2.1319786250528576,-0.08035472629872359,0,3,1,0,5,0,-1
-0.11652321631629182,-0.3921192264701557,0,2,2,1,0,1,-1
0.1160293308456196,-0.29544806362630077,1,3,2,0,1,0,-1
-0.11652321631629182,-0.5037744195548081,1,3,0,1,0,1,-1
0.4260993937281682,-0.14077420307613292,0,2,2,0,0,1,4
0.34858187800753104,-0.3921192264701557,0,2,2,1,0,1,-1
-1.1242509206845748,-0.4882258297230025,1,3,1,1,0,1,-1
-0.11652321631629182,0.042901006327191425,0,1,2,1,0,1,-1
-1.6668735307290348,-0.23599529847733,1,3,2,0,4,0,-1
0.6586519408900796,-0.036611025111879254,1,3,2,1,6,0,-1
-0.11652321631629182,-0.5037744195548081,0,3,0,0,0,1,2
-0.8141808578020261,4.44143891572259,0,1,2,0,5,0,-1
-0.11652321631629182,-0.4911259646083181,1,3,1,1,0,1,3
-0.11652321631629182,-0.4908050163476765,0,3,2,0,0,1,0
0.8136869723313539,-0.10750385567179178,0,1,0,0,0,1,-1
-0.11652321631629182,2.189402973498201,1,1,0,1,1,0,-1
-0.11652321631629182,-0.49362394745620336,1,3,1,1,0,1,3
2.8291423810679195,-0.44045480789208313,0,2,2,0,0,1,-1
-0.11652321631629182,0.9452451076977882,0,1,0,0,1,0,-1
0.9687220037726282,0.36191584371191265,0,1,2,0,1,0,-1
-0.11652321631629182,-0.5036932157780193,0,3,0,1,0,1,-1
-0.6591458263607518,-0.48782367768557205,0,3,2,0,0,1,0
-0.8916983735226632,-0.29544806362630077,1,3,2,0,2,0,-1
-1.201768436405212,-0.42611460759582565,1,3,0,1,1,0,-1
0.8136869723313539,-0.4602723962750734,1,3,2,0,1,0,-1
-0.19404073203692898,-0.23744536591998783,1,2,2,0,1,0,-1
-0.11652321631629182,-0.4908050163476765,0,3,0,0,0,1,2
-2.0544611093322205,0.16043767295926398,1,2,0,1,3,0,-1
-0.8141808578020261,-0.4911259646083181,1,3,1,1,0,1,-1
-0.11652321631629182,-0.48782367768557205,0,3,2,0,0,1,0
-0.11652321631629182,-0.3437836450482282,0,3,1,0,1,0,-1
-0.11652321631629182,-0.49362394745620336,1,3,1,1,0,1,3
-0.11652321631629182,-0.22431355515927853,0,3,0,0,2,0,-1
-0.8916983735226632,-0.29931491014005496,1,3,2,0,1,0,-1
-1.744391046449672,0.12386310520891992,0,3,2,0,5,0,-1
-0.6591458263607518,-0.4926572358277648,0,3,2,0,0,1,0
1.5113446138170883,0.8400359477515641,1,1,0,1,1,0,-1
-0.03900570059565468,-0.14077420307613292,1,2,2,1,1,0,-1
2.7516248653472823,0.554856017362192,0,1,0,0,1,0,-1
